Date of Offense,Time of Offense,Date Offense Reported,Report Year,Month,CCN,District,Block Location,Type of Hate Bias,Targeted Group ,Top Offense Type
4/15/2018,2302,4/16/2018,2018,4,18060442,4D,3600 B/O 14th ST NW,Ethnicity/National Origin,Latino/Hispanic,Robbery
4/17/2018,2038,4/17/2018,2018,4,18061553,2D,1200 B/O G St NW,Ethnicity/National Origin,Black/African,Robbery
4/20/2018,1118,4/20/2018,2018,4,18063031,3D,2500 B/O Georgia Ave NW,Race,Black,Damage/Defacing/Destruction of Property
4/21/2018,1432,4/21/2018,2018,4,18063758,2D,1800 B/O M St NW,Race,White,Threats
4/22/2018,2111,4/22/2018,2018,4,18064464,7D,4000 B/O 4th ST SE,Sexual Orientation,,Threats
4/23/2018,1820,4/23/2018,2018,4,18064958,3D,3100 B/O Mount Pleasant St NW,Ethnicity/National Origin,Latino/Hispanic,Simple Assault
4/30/2018,1639,4/30/2018,2018,4,18068967,2D,Unit B/O 15th St SW,Race,Black,Threats
5/11/2018,2213,5/12/2018,2018,5,18076135,7D,100 B/O Galveston Pl SW,Gender Identity/Expression,,Simple Assault
5/16/2018,1130,5/16/2018,2018,5,18078733,2D,1000 B/O Wisconsin Ave NW,Sexual Orientation,,Threats
5/4/2018,1630,5/16/2018,2018,5,18078915,2D,1400 B/O New York Ave NW,Race,Black,Threats
5/17/2018,1610,5/18/2018,2018,5,18079974,2D,1300 B/O New York Ave NW,Ethnicity/National Origin,Latino/Hispanic,Threats
5/19/2018,2000,5/19/2018,2018,5,18080756,3D,1400 B/O Irving St NW,Sexual Orientation,,Simple Assault
5/19/2018,2310,5/20/2018,2018,5,18080901,1D,1200 B/O Half St SE,Ethnicity/National Origin,Latino/Hispanic,Threats
5/20/2018,0100,5/21/2018,2018,5,18081726,3D,700 B/O Harvard St NW,Sexual Orientation,,Robbery
5/25/2018,1430,5/26/2018,2018,5,18084660,4D,1400 B/O Perry Pl NW,Sexual Orientation,,Damage/Defacing/Destruction of Property
5/27/2018,0310,5/27/2018,2018,5,18085245,2D,1900 B/O M St NW,Race,Black,Simple Assault
5/27/2018,1828,5/27/2018,2018,5,18085566,3D,1300 B/O 14th St NW,Sexual Orientation,,Simple Assault
6/1/2018,1045,6/1/2018,2018,6,18088385,1D,700 B/O I St NE,Sexual Orientation,,Simple Assault
6/1/2018,1928,6/1/2018,2018,6,18088713,5D,900 B/O Rhode Island Ave NE,Ethnicity/National Origin,Latino/Hispanic,Threats
6/4/2018,0949,6/4/2018,2018,6,18090063,5D,1100 B/O Oates St NE,Gender Identity/Expression,,Simple Assault
6/5/2018,2116,6/5/2018,2018,6,18091166,4D,400 B/O Peabody St NW,Sexual Orientation,,Simple Assault
6/5/2018,2307,6/6/2018,2018,6,18091220,1D,500 B/O H St NW,Race,Black,Threats
